title,artist,genre,released_year,song_key,bpm,camelot,Instrumental_type,ranked
Anaconda,Nicki Minaj,Edm/Pop,2014,D Major,130,10B,No
Cold Water,Major Lazer,Edm/Pop,2016,F-Sharp Minor,93,11A,No
Gold,Sam Feldt,Tropical,2019,F-Sharp Minor,114,11A,No
The Riddle,Gigi D'Agostino,Dance Pop,2014,F-Sharp Minor,127,11A,No
All The Pretty Girls,Fun,Pop,2009,C Major,131,8B,No
Pieces Of Me,Ashlee Simpson,Pop,2004,D Major,87,10B,No
Do You Remember,Jay Sean,Pop,2009,B Major,126,1B,No
I Wanna Dance With Somebody,Whitney Houston,Classic Rock,1987,D-Flat Major,119,3B,No
Cool,Jonas Brothers,Hip Hop/Pop,2019,C Major,79,8B,No
Jump,David Guetta,Edm,2019,C Major,128,8B,No
San Francisco,Galantis,Edm/Pop,2018,E Major,110,12B,No
Body Say,Demi Lovato,Edm/Pop,2016,F Minor,87,4A,No
The Greatest,Sia,Edm/Pop,2016,D-Flat Major,192,3B,No
Mistletoe,Justin Bieber,Pop,2011,F-Sharp Minor,162,11A,No
Locked Away,R City,Pop,2015,D-Flat Major,118,3B,No
Bleeding Love,Leona Lewis,Pop,2007,F Major,104,7B,No
By Your Side <Two Can Remix>,Jonas Blue,Edm/Pop,2016,A Minor,117,8A,No
Take Me Home,Bryce Vine,Pop,2014,F Major,88,7B,No
I Won'T Give Up,Christina Grimmie,Pop,2017,A-Flat Major,137,4B,No
Lose Yourself,Eminem,Rap,2005,D Major,171,10B,No
Pumped Up Kicks,Foster The People,Pop,2011,F Minor,128,4A,No
Problem,Ariana Grande,Pop,2014,D-Flat Minor,103,12A,No
I Hate U I Love U,Gnash,Edm/Pop,2016,F-Sharp Minor,93,11A,No
Here For You,Kygo,Edm/Pop,2015,B-Flat Major,105,6B,No
Bad To You,Ariana Grande,Pop,2019,G Minor,148,6A,No
Around The World,Aqua,Dance Pop,2009,F-Sharp Major,130,2B,No
Salt,Ava Max,Pop,2019,F-Sharp Major,128,2B,No
Silence,Marshmello,Pop,2017,E Major,142,12B,No
Cheerleader <Felix Jaehn Remix>,Omi,Dance Pop,2015,E Major,118,12B,No
Wolves <Owen Norton Remix>,Selena Gomez,Edm/Pop,2018,B Minor,128,10A,No
Knock You Out <Hardwell Remix>,Bingo Players,Edm,2014,A Minor,128,8A,No
Who Knew,Pink,Pop,2006,A Major,140,11B,No
Freaking Me Out,Ava Max,Pop,2019,D-Flat Minor,98,12A,No
We Rise,San Holo,Pop,2015,F-Sharp Major,145,2B,No
Animals,Maroon 5,Pop,2014,E Minor,190,9A,No
Fade Away,Matisse & Sadko,Edm,2019,F Major,128,7B,No
With You Tonight,Nicky Jam,Edm/Pop,2016,F-Sharp Minor,94,11A,No
On & On,Alok,Dance Pop,2019,B-Flat Minor,125,3A,No
One Call Away,Charlie Puth,Pop,2016,D-Flat Major,91,3B,No
Inside Out,The Chainsmokers,Edm/Pop,2016,G Minor,144,6A,No
Sexual Healing <Kygo Remix>,Marvin Gaye,Pop,2015,C Minor,101,5A,No
My Songs Know What You Did In The Dark,Fall Out Boy,Dance/Edm,2013,A Minor,152,8A,No
Memories,David Guetta,Edm/Pop,2010,A-Flat Major,130,4B,No
Thursday <Nicky Romero Remix>,Jess Glynne,Dance Pop,2018,B Minor,120,10A,No
Watch Out For This,Major Lazer,Edm/Pop,2013,B-Flat Minor,108,3A,No
Chained To The Rhythm,Katy Perry,Pop,2017,C Major,190,8B,No
Shape Of You,Ed Sheeran,Pop,2017,D-Flat Minor,96,12A,No
Someone You Loved,Lewis Capaldi,Dance Pop,2019,D-Flat Major,110,3B,No
Moves Like Jagger,Maroon 5,Edm/Pop,2010,B Minor,128,10A,No
Dangerous,David Guetta,Edm/Pop,2014,E Minor,92,9A,No
Don'T Hold Your Breath,Nicole Scherzinger,Pop,2011,F Minor,111,4A,No
Obsessed,Dynoro,Pop,2019,B Minor,118,10A,No
Hey Baby,Dimitri Vegas & Like Mike,Edm/Pop,2016,F-Sharp Minor,180,11A,No
Burn It Down,Linkin Park,Edm/Pop,2012,A Minor,110,8A,No
Mr. Brightside,The Killers,Rock,2004,D-Flat Major,148,3B,No
Want To Want Me,Jason Derulo,Pop,2015,C Minor,114,5A,No
Hold On,Foxa,Dance Pop,2019,G Major,123,9B,No
Sweet Child O' Mine,Guns N' Roses,Classic Rock,1987,F-Sharp Major,125,2B,No
All In My Head,Fifth Harmony,Edm/Pop,2016,C Minor,95,5A,No
