spotify_id,title,artist,genre,released_year,key,mode,bpm
7zycSpvjDcqh6YT1FEl2kY,Anaconda,Nicki Minaj,EDM/Pop,2014-12-15,2,1,129.99
7zsXy7vlHdItvUSH8EwQss,Cold Water,Major Lazer,EDM/Pop,2016-07-22,6,0,92.943
7zs5zHtydDQ4RTEylVtXRp,Gold,Sam Feldt,Tropical,2019-01-18,6,0,114.019
7znm8mn8oac6FKfmLuvPZa,The Riddle,Gigi D'Agostino,Dance Pop,2014-05-30,6,0,126.99
7zHRcLHhkdkVDSwR0CKdLB,All The Pretty Girls,Fun,Pop,2009,0,1,131.036
7yXibbAYi4to5oQTeO738f,Pieces Of Me,Ashlee Simpson,Pop,2004-01-01,2,1,87.183
7yws3pF3FFguwT2Psi6c15,Do You Remember,Jay Sean,Pop,2009-01-01,11,1,125.846
7yqU5HODQU91zj8ahUaUX1,I Wanna Dance with Somebody,Whitney Houston,Classic Rock,1987-06-02,1,1,118.814
7yfi8B8opXjnRh4VZnOkz9,Cool,Jonas Brothers,Hip Hop/Pop,2019-06-07,0,1,78.969
7yEM9hYRsw9R3pJB5W0gxb,Jump,David Guetta,EDM,2019-10-03,0,1,127.997
7y7fPt0Tbv7IW4NLjrIpG4,San Francisco,Galantis,EDM/Pop,2018-12-21,4,1,110.06
7xrA11O07xo57Bbg6p4hck,Body Say,Demi Lovato,EDM/Pop,2016-07-01,5,0,86.983
7xHWNBFm6ObGEQPaUxHuKO,The Greatest,Sia,EDM/Pop,2016-10-21,1,1,191.944
7xapw9Oy21WpfEcib2ErSA,Mistletoe,Justin Bieber,Pop,2011-01-01,6,0,161.994
7x5xYW5W42OGPAdHUyyguy,Locked Away,R City,Pop,2015-10-09,1,1,118.413
7wZUrN8oemZfsEd1CGkbXE,Bleeding Love,Leona Lewis,Pop,2007,5,1,104.036
7wzEks2i4wsVNYKlzIU9LO,By Your Side <Two Can Remix>,Jonas Blue,EDM/Pop,2016-12-16,9,0,116.994
7wYKvMLMWZz59hlGxLSuxs,Take Me Home,Bryce Vine,Pop,2014-04-15,5,1,88.493
7wVHizRrYy5LCX7QfwsxNJ,I Won't Give Up,Christina Grimmie,Pop,2017-04-21,8,1,136.986
7w9bgPAmPTtrkt2v16QWvQ,Lose Yourself,Eminem,Rap,2005-12-06,2,1,171.388
7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks,Foster The People,Pop,2011-05-23,5,0,127.975
7vS3Y0IKjde7Xg85LWIEdP,Problem,Ariana Grande,Pop,2014-08-25,1,0,103.009
7vRriwrloYVaoAe3a9wJHe,I Hate U I Love U,GNASH,EDM/Pop,2016-03-25,6,0,92.6
7vqUr6K2Js9Paq4kdNSOm6,Here For You,Kygo,EDM/Pop,2015-09-04,10,1,105.005
7vJS1DPc3FzBtqBs8n3mW5,Bad To You,Ariana Grande,Pop,2019-11-01,7,0,147.983
7vHkU1H73z5NVbGTIyI1DG,Around The World,Aqua,Dance Pop,2009-01-01,6,1,129.934
7vgv8KZBSo0TPzyIWG9yzV,Salt,Ava Max,Pop,2019-12-12,6,1,128.052
7vGuf3Y35N4wmASOKLUVVU,Silence,Marshmello,Pop,2017-08-11,4,1,141.971
7vFoFDWqTX0mHzLfrF1Cfy,Cheerleader <Felix Jaehn Remix>,OMI,Dance Pop,2015-10-16,4,1,118.016
7vaonzgvTMr9D9U46V0HZT,Wolves <Owen Norton Remix>,Selena Gomez,EDM/Pop,2018-02-23,11,0,127.987
7v71Aur70pf46NQIoSQii7,Knock You Out <Hardwell Remix>,Bingo Players,EDM,2014-06-17,9,0,128.039
7uYl7xgDeAOHP98obvrJvB,Who Knew,Pink,Pop,2006-04-04,9,1,140.004
7uYIX9O9DY6l1D3HiwHR1J,Freaking Me Out,Ava Max,Pop,2019-07-31,1,0,97.954
7uSZPbd8DxdkmSauCKnITY,We Rise,San Holo,Pop,2015-02-23,6,1,145.034
7uolkTLavH97itenLjNmx9,Animals,Maroon 5,Pop,2014-08-29,4,0,189.879
7thOGpKaWpPotq2U37UItx,Fade Away,Matisse & Sadko,EDM,2019-11-01,5,1,127.977
7t8qTDoVozTk6Sn9CMLttT,With You Tonight,Nicky Jam,EDM/Pop,2016-04-22,6,0,93.979
7sYAS4CpbV90oSemgaEQat,On & On,Alok,Dance Pop,2019-11-22,10,0,125.07
7soJgKhQTO8hLP2JPRkL5O,One Call Away,Charlie Puth,Pop,2016-01-29,1,1,91.024
7sG2bWi2eDtvX9vX8yC1Gn,Inside Out,The Chainsmokers,EDM/Pop,2016-04-01,7,0,143.937
7s1upm7yr7ZjrzXMwHawtG,Sexual Healing <Kygo Remix>,Marvin Gaye,Pop,2015-04-27,0,0,100.987
7s0lDK7y3XLmI7tcsRAbW0,My Songs Know What You Did In The Dark,Fall Out Boy,Dance/EDM,2013-01-01,9,0,151.99
7rn94fZKrOwHunAgWtvJUs,Memories,David Guetta,EDM/Pop,2010-11-22,8,1,129.984
7r4nPsLToVIPdsiEeZKF6Y,Thursday <Nicky Romero Remix>,Jess Glynne,Dance Pop,2018-12-07,11,0,119.992
7r15j439zkGhA3KRksbwuv,Watch Out For This,Major Lazer,EDM/Pop,2013-04-16,10,0,108.026
7qvxFz3JodM0A7xEM7k3YD,Chained To The Rhythm,Katy Perry,Pop,2017-06-09,0,1,189.89
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,Pop,2017-03-03,1,0,95.977
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,Dance Pop,2019-05-17,1,1,109.891
7pYfyrMNPn3wtoCyqcTVoI,Moves Like Jagger,Maroon 5,EDM/Pop,2010,11,0,128.044
7pqgMEKsDMOHUdFQ7n0N9K,Dangerous,David Guetta,EDM/Pop,2014-11-21,4,0,92.161
7pAq1IXYZpL42HchCminu6,Don't Hold Your Breath,Nicole Scherzinger,Pop,2011-01-01,5,0,110.955
7p4tetW3qNwSCz92PLGJg5,Obsessed,Dynoro,Pop,2019-03-22,11,0,117.948
7oY3KqKUERINrawkzIqTgx,Hey Baby,Dimitri Vegas & Like Mike,EDM/Pop,2016-11-04,6,0,179.965
7oVEtyuv9NBmnytsCIsY5I,Burn It Down,Linkin Park,EDM/Pop,2012-06-20,9,0,110.006
7oK9VyNzrYvRFo7nQEYkWN,Mr. Brightside,The Killers,Rock,2004-06-15,1,1,148.017
7oGZAicScQt96OAW4AruYy,Want to Want Me,Jason Derulo,Pop,2015-05-29,0,0,114.025
7o9SNYNMZTLtWo5W0IH6PI,Hold On,Foxa,Dance Pop,2019-08-09,7,1,122.999
7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,Guns N' Roses,Classic Rock,1987-01-01,6,1,125.116
7nD9nN3jord9wWcfW3Gkcm,All In My Head,Fifth Harmony,EDM/Pop,2016-05-27,0,0,95.04
7nbVbGjifh0m2fhPYqcI1R,Sweet But Psycho <Morgan Page Dance Remix>,Ava Max,Dance Pop,2018-08-16,1,1,127.959
7N06jo3EnV792VFaG8vuW6,Close Your Eyes,Felix Jaehn,Dance Pop,2019-11-22,11,0,128.136
7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd,Pop,2016-11-25,7,1,186.005
7MwoGAOLI3MnEC7mGFOYcW,Say Something <RetroVision Remix>,Lucas & Steve,Dance/EDM,2019-03-18,8,1,125.988
7mQKKSqxpQD11s4Tf0tIhK,Circus <Diplo Circus Remix>,Britney Spears,EDM/Pop,2009-02-20,11,0,125.009
7MmG8p0F9N3C4AXdK6o6Eb,Outside,Calvin Harris,EDM/Pop,2014-10-31,2,0,128.035
7mitXLIMCflkhZiD34uEQI,Party Rock Anthem,LMFAO,Pop,2011-01-01,5,0,130.014
7mcI6Gpufrz5PF94xUVDeC,First Time <R3hab Remix>,Kygo,EDM/Pop,2017-06-30,0,0,176.453
7MCgEv2ovQuxfijz2WZ4kH,Feels Like Home,The Him,Tropical,2016-05-06,8,1,122.057
7m97u5zpSWqkDjN4uwY2LP,Shut Up,Greyson Chance,Pop,2019-03-15,9,1,105.006
7LzouaWGFCy4tkXDOOnEyM,Liar,Camila Cabello,Pop,2019-09-04,11,0,98.016
7lxKUx67JrEoxjayHCb0Xr,Habits <The Chainsmokers Mix>,Tove Lo,Pop,2014-03-03,10,1,128.025
7lWUJpax919G4JdaFEVmCy,Blah Blah Blah,Kesha,Pop,2010-01-01,10,1,120.003
7LRMbd3LEoV5wZJvXT1Lwb,TNT,AC/DC,Classic Rock,1976-05-14,9,1,126.367
7lqsmY0ifoZsqBU6DpbCIq,All For Love,Madison Beer,Pop,2015-09-04,1,0,119.905
7LpT54RUvN0IvDGIxiwHwS,Sweat <David Guetta Remix>,Snoop Dogg,EDM/Pop,2012-12-07,7,1,130.005
7lPo7aUbqNz5qmcan9Oj3F,Love No More,Loud Luxury,Dance Pop,2018-08-31,0,1,121.011
7LP4Es66zdY7CyjepqmvAg,Down,Jay Sean,Pop,2009-01-01,2,1,65.997
7lGKEWMXVWWTt3X71Bv44I,Unsteady,X Ambassadors,Tropical,2015-06-30,0,1,117.055
7Lf7oSEVdzZqTA0kEDSlS5,Cry Me a River,Justin Timberlake,Pop,2002-11-04,8,0,73.884
7ldlgbsVshuUnFWyimgBxn,Paris <VINAI Remix>,The Chainsmokers,EDM/Pop,2017-02-17,2,1,99.962
7L97R04c6ZaPlU8xSxibQp,Bad,David Guetta,EDM/Pop,2015-11-27,5,0,127.966
7l94dyN2hX9c6wWcZQuOGJ,Dangerous Woman,Ariana Grande,Pop,2016-05-20,4,0,133.969
7L605WhF5EGf34ggj87yK6,You And Me,Lifehouse,Rock,2005-01-01,7,1,139.868
7l15QDWp4v3TYh5u3pQjxa,Miami 82 <Kygo Remix>,Syn Cole,EDM/Pop,2014-05-08,2,0,112.995
7KY4hAPXXg9aeYczem8JBo,Never Let You Go,Slushii,EDM/Pop,2019-01-18,1,1,165.075
7KXjTSCq5nL1LoYtL7XAwS,Humble,Kendrick Lamar,EDM/Pop,2017-04-14,1,0,150.011
7KxhSJOYiqCDclXDBNlFSZ,Kill Em With Kindness,Selena Gomez,EDM/Pop,2015-10-09,10,0,120.012
7KW3XQV5Or5CF57MYVj5h4,Party For One,Carly Rae Jepsen,Dance Pop,2019-05-17,6,1,123.449
7KPMoaXQRanQdxnITnAHaq,Renegades <Stash Konig Remix>,X Ambassadors,EDM/Pop,2015-08-28,7,1,127.985
7kJlTKjNZVT26iwiDUVhRm,Blow Your Mind,Dua Lipa,EDM/Pop,2016-08-26,2,0,108.854
7KIbDUwumrpG5f30kEYW1v,Pump It,The Black Eyed Peas,EDM/Pop,2005-01-01,1,0,153.649
7K5dzhGda2vRTaAWYI3hrb,Just Like Fire,Pink,EDM/Pop,2016-04-15,7,1,162.958
7k4t7uLgtOxPwTpFmtJNTY,Tusa,Karol G,Dance Pop,2019-11-07,2,1,101.085
7K4qs6xArR9izybon4i4gW,Somebody,Erlandsson,Dance Pop,2019-10-11,0,1,124.983
7K0trO4bMEWjSiFGPG5LTQ,Therapy,Armin Van Buuren,Dance Pop,2018-04-20,2,0,114.862
7JuGl6cntiqvXVgXJFSggk,Midnight Sky,Sol Calor,Tropical,2017-02-10,7,1,90.761
7JTg1KbHm4FXeKL8vSmTqP,I Luv U,Sofia Carson & R3HAB,Pop,2019-12-16,1,1,96.072
7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,Shawn Mendes,Pop,2017-04-20,11,0,121.998
7jEyX4bqaCSdMN4D4JNnVj,Mama,Jonas Blue,Dance Pop,2018-11-09,11,0,104.014
7jcpgrFEPvZLEBswLpiSLn,Safe And Sound <Dzeko & Torres Remix>,Capital Cities,EDM,2013,1,1,126
7iyKbBjb2fmTnTfCjCh7ER,Seventeen,Troye Sivan,Pop,2018-08-31,4,1,118.913
7IWTIkiWGWNQyYfOLdMrGD,Burn Out,Martin Garrix,Dance Pop,2018-09-14,4,0,127.877
7IUl5c6u18rzmyQOblj10T,Somebody To Love <Remix>,Justin Bieber,EDM/Pop,2011-01-01,5,1,129.989
7IToVuRoN3NP3mJzLe0RXt,Fade Away,Sam Feldt,EDM/Pop,2017-10-06,4,0,105.06
7itCfKLYBNstSX8yrBWcBh,Give It to Em,Akon,Pop,2013-12-17,7,0,157.796
7IohFKIwrb75c4XaqX7WWo,This Is Love,Will I AM,Pop,2013-01-01,0,0,128.952
7iNIg7XDEaYECfWD5dJ9Va,Friends,Justin Bieber,Dance Pop,2017-08-17,8,1,104.977
7IMGshuSNOXHgmboboPpIH,Bad,R3HAB,EDM,2019-01-18,8,1,125.068
7ijMo6K6uLdgJqGdj9H7nG,Drama Queen,Lindsay Lohan,Pop,2004-01-01,2,1,129.989
7iDa6hUg2VgEL1o1HjmfBn,Meant To Be,Bebe Rexha,Pop,2017-08-11,10,1,154.084
7hzlzoOwCZ4D3Ow5YZK4kj,Insomnia,Daya,Pop,2019-03-08,7,1,123.084
7Hv89f7Dpm5Hce1XkBbjQZ,On The Floor,Jennifer Lopez,Pop,2011-01-01,11,1,129.998
7Ht0v0LWBCOEjmNQ0iMpNr,I'm Not Alright,Loud Luxury,Dance Pop,2019-07-12,4,1,121.991
7hrDA2n8BVGLyHra0rBiFd,Younger <Kygo Remix>,Seinabo Sey,Tropical,2014-01-01,5,1,114.008
7hnsQzlqEfgo65WRttm3ZF,Breathe <Syris Remix>,Mako,EDM/Pop,2018-02-23,5,0,139.473
7HMmFQsKsljwTw8bS7lu19,Rare,Selena Gomez,Dance Pop,2020-01-10,5,1,114.998
7Hjr124CfhS8HYAHJitVO4,Fire,Matthew Finley,Pop,2010-01-01,8,0,120.089
7h0aDiDivgCQj2sBbvuPhJ,Breathe,Herb Barclay,Dance Pop,2019-04-08,1,0,127.964
7gZQfdEQpmwAoPHSbEHzms,False Alarm,Matoma,Tropical,2016-06-24,5,0,102.979
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Lil Uzi Vert,EDM/Pop,2017-08-25,11,0,155.096
7GwoaOQk3fKpqf28Fl2ptZ,Light <Grant Remix>,San Holo,EDM/Pop,2017-01-27,1,1,169.939
7gvd8xj4QgPqbQSsn5pV7d,Sorry Not Sorry,Demi Lovato,Pop,2017-09-29,11,0,144.077
7gUpO6td4OOnu0Lf9vhcIV,Lights,Ellie Goulding,Pop,2010,8,0,120.013
7GJClzimvMSghjcrKxuf1M,Budapest,George Ezra,EDM/Pop,2014-06-27,5,1,127.787
7gHs73wELdeycvS48JfIos,Faded,Alan Walker,EDM/Pop,2015-12-04,6,1,90.011
7GCVboEDzfL3NKp1NrAgHR,Wrong Direction,Hailee Steinfeld,Pop,2020-01-01,10,1,72.293
7GAaTpSoTWUTbP2Yxlt4Hd,Need You Now,Lady Antebellum,EDM/Pop,2010-01-01,4,1,107.884
7G6TDmGJXDoBaV6NGj3Yic,You Belong With Me,Taylor Swift,Pop,2008-11-11,6,1,129.969
7FYH5AW3bVfZHJIQpq3UOA,I Don't Fuck With You,Big Sean,Pop,2015-02-24,1,1,97.971
7fvUMiyapMsRRxr07cU8Ef,Beautiful People <Jack Wins Remix>,Ed Sheeran,EDM/Pop,2019-07-11,8,1,124.982
7fPuWrlpwDcHm5aHCH5D9t,Roses <Imanbek Remix>,SAINt JHN,Dance Pop,2019-09-13,8,1,121.966
7FKcbKrAi4uiXosKMNTjQI,Malibu <Tiesto Remix>,Miley Cyrus,EDM/Pop,2017-06-23,8,1,128.024
7FjZU7XFs7P9jHI9Z0yRhK,So Close,NOTD,Dance Pop,2018-11-02,10,1,125.03
7fJtPlEZKxu6gvkfBFc5tW,Too Good,Drake,Pop,2016-05-13,7,1,117.993
7fGn1cjdKNcXtwnPoiiGsN,Don't Leave Me Alone <R3HAB Remix>,David Guetta,EDM/Pop,2018-08-17,4,0,127.961
7Feaw9WAEREY0DUOSXJLOM,Summer Days,Martin Garrix,Dance Pop,2019-04-25,5,0,113.778
7FDaS1k08rwMoAThmzUkOZ,Side Effects <Fedde Le Grand Remix>,The Chainsmokers,Dance Pop,2018-07-25,0,0,126.026
7FCZhkhzEUVNUAlGauNKIe,Lovers & Strangers,Starley,Dance Pop,2019-10-11,1,1,110.214
7fa9MBXhVfQ8P8Df9OEbD8,Girls Like You,Maroon 5,Pop,2018-06-15,0,1,124.959
7F9vK8hNFMml4GtHsaXui6,Back To You,Louis Tomlinson,Pop,2017-07-21,5,0,75.016
7evPpWWu01Klxi0KlPxR17,Mercy,Shawn Mendes,EDM/Pop,2016-09-23,11,0,148.294
7EQGXaVSyEDsCWKmUcfpLk,Die Young,Kesha,Pop,2012-11-30,1,0,128.001
7ElF5zxOwYP4qVSWVvse3W,Break Your Heart,Taio Cruz,EDM/Pop,2010-01-01,3,1,122.01
7EGhmltmWJHCHobd3g8Hnw,No Air,Jordin Sparks,Pop,2007-11-19,8,0,160.033
7EGAB9F26KVQ6TQCy4G6eW,Gold Jacket,Sam Tsui,Pop,2019-09-06,0,1,129.932
7eFmN6wnsb7WowRKAqRFfs,Wait,Maroon 5,Hip Hop/Pop,2017-11-03,8,1,126.12
7ef4DlsgrMEH11cDZd32M6,One Kiss,Calvin Harris & Dua Lipa,Dance Pop,2018-04-06,9,0,123.994
7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,Lynyrd Skynyrd,Classic Rock,1974-04-15,7,1,97.798
7e7hic6gtPVhOrVVIZMIWr,Malibu <The Him Remix>,Miley Cyrus,Dance/EDM,2017-06-08,5,0,125.002
7e4KQkp5ZR1gXCAalRjX6B,Nights Like This,Kehlani,EDM/Pop,2019-01-10,8,1,146.163
7dt6x5M1jzdTEt8oCbisTK,Better Now,Post Malone,Pop,2018-04-27,10,1,145.038
7DQ5CZjAQdhgDgdnSXxJ7Z,Solid Gold,PNAU,Dance Pop,2019-05-02,5,0,104.983
7dLOOzJGQnsgqFcflWiEcZ,Only You,Hogland,Dance Pop,2019-11-15,8,1,114.901
