Happy Now,Kygo,11B,118
Where Are You Now,Lost Frequencies,11A,121
Some Say <Felix Jaehn Remix>,Nea,2B,120
Switch That,Retrovision,11B,128
Our Youth,Sunny Alven,11A,120
Shadows Of Love,Sam Feldt,7B,120
Chasing Stars,Alesso,6B,93
Anywhere With You,Afrojack,2B,126
Like No Other,Jay Hardway,9A,126
I’m Coming Home,Marc Robillard,3B,125
Gyal You A Party Animal,Charly Black,8B,134
It Ain’t Me <Tommy Jayden Remix>,Kygo,8B,128
Pretty Girl <Cheat Codes Remix>,Maggie Lindenman,6A,121
Catchu Catchu,Lartiste,4B,116
Rich Love,One Republic,12A,105
Mesibah Behayfa,The Ultras,3B,95
Freaky Friday,Lil Dicky,4B,133
One More Weekend,Audien,10B,110
Rich Boy,Galantis,3B,110
I Like Me Better <Cheat Codes Remix>,Lauv,11B,105
Good Grief <Don Diablo Remix>,Bastille,4B,126
Finest Hour,Cash Cash,4A,96
Mama Look At Me Now,Galantis,6B,126
Back And Forth,Jonas Blue,3A,122
Found Me,The Him,9B,117
Heavy <John Gibbons Remix>,Anne Marie,8B,120
Heaven,Avicii,11B,122
In Your Arms Tonite,Jonas Blue,10A,125
Found The Love,Moti,4B,126
I’m Not Alright,Bryce Vine,12B,122
Used To Love,Martin Garrix,12B,119
Faith,Galantis,4B,118
Right Through,Discos Over,4B,170
We Got Love,Sigala,8A,125
Loco,Davai,2B,106
Little Do You Know,Campsite Dream,8B,95
Could You Love Me,Kygo,5A,100
Next Escape,Viceroy,10B,123
I Want It All,Lucas & Steve,3B,120
Best Days,Sam Feldt,1B,108
Summer Vibes,Razvan Mitroi,12B,105
Beautiful Day,Lee Dewyze,8B,135
Iris,Goo Goo Dolls,10A,156
1-800-273-8255,Logic,4A,100
What Lovers Do,Maroon 5,4A,110
Without You,Avicii,10B,134
The Middle,Zedd,9B,107
Wild Love,Faul,5B,100
Middle,DJ Snake,11B,105
Lucid Dreams,Juice World,11A,84
Back To You,Selena Gomez,2B,102
Eastside,Halsey,11A,89
Love Myself,Hailee Steinfeld,5A,123
Heavy,Anne Marie,7B,133
Smoke Clears,Andy Grammar,9B,100
You Broke Me First,Tate McCrae,12B,124
I Won’t Let You Walk Away,Madison Beer,5B,128
Little By Little,Ulf Nilsson,1B,118
Untouchable,Tritonal,9B,129
The Touch,Kolaj,8B,112
Party All Night,Sean Kingston,5A,124
Our Story,Mako,4B,128
Where Them Girls At,David Guetta,5B,130
Sexy Bitch,David Guetta,10A,130
Burnin Up,Jonas Brothers,10B,114
Good Girls Go Bad,Cobra Starships,8B,120
It’s My Life,No Doubt,1A,126
Life Is A Highway,Rascal Flats,7B,103
Move Along,All American Rejects,5B,110
Wonderwall,Oasis,10B,174
Give It To Me,Sean Paul,4B,96
Breakeven,The Script,6B,94
Run This Town,Rihanna,3B,86
Fireflies,Owl City,5B,90
Good Time,Owl City,5B,126
Party In The USA,Miley Cyrus,3A,96
California Gurls,Katy Perry,8B,125
Fuck You,Cello Green,8B,127
Eenie Menie,Sean Kingston,3B,121
Call Me Maybe,Carly Rae Jepsen,9B,120
Tonite Tonite,Hot Chelle Rae,12B,100
Somebody That I Used To Know,Gotye,8B,129
Part Of Me,Katy Perry,7B,130
Heart Attack,Demi Lovato,4B,174
Can’t Hold Us,Macklemore,10B,146
Am I Wrong,Nico & Vinz,4B,120
Riptide,Vance Joy,3B,102
Time Of Our Lives,Pitbull,3B,124
Trumpets,Jason Derulo,8B,82
All Night,Icona Pop,12A,124
Yeah 3x,Chris Brown,10A,130
I Choose U,Timeflies,12A,128
Hall Of Fame,The Script,6B,85
Turn Me On,Kevin Lyttle,11B,106
Other Side,Jason Derulo,11B,128
Take Me Home,Cash Cash,9B,128
One Whole Day,Dixie D'Amelio,7B,81
The Sweet Escape,Gwen Stefani,12A,150
All Time Low,Jon Bellion,8B,90
World Is Our Playground,DJ Vice,11A,128
We Found Love,Rihanna,3B,128
Finally Found You,Enrique Iglesias,11A,128
Never Say Never,Justin Bieber,8B,97
Beautiful Soul,Jesse McCartney,11B,90
22,Taylor Swift,9B,104
Wildest Dreams,Taylor Swift,4B,140
All Too Well,Taylor Swift,8B,93
We Are Never Getting Back Together,Taylor Swift,9B,172
1985,Bowling For The Soup,12B,120
Sugar We’re Goin' Down,Fall Out Boy,9B,162
All Star,Smash Mouth,1B,104
Teenage Dream,Katy Perry,6B,120
TGIF,Katy Perry,2A,126
Domino,Jessie J,9B,127
2002,Anne Marie,12A,96
Flashlight,Jessie J,7B,148
No Tears Left To Cry,Ariana Grande,8A,122
Work From Home,5th Harmony,4B,105
Burn,Ellie Goulding,3B,87
What Do You Mean,Justin Bieber,4A,125
Ghost,Justin Bieber,10B,154
Fuckin Perfect,Pink,9B,92
Good For You,Selena Gomez,4A,89
Praying,Kesha,6B,73
